Offense,Category,Year,Time of Day,Occurred DateTime,Report DateTime,Location Type,Census Block Group,Latitude,Longitude,APD Sector,APD District,Council District
THEFT BY SHOPLIFTING,theft,2015,Afternoon,2015-07-09 13:27:00,2015-07-09 13:27:00,DEPARTMENT / DISCOUNT STORE,4530019103.0,30.2595416,-97.8017714,David,5,8
BURGLARY OF VEHICLE,theft,2003,Night,2003-11-14 00:01:00,2003-11-14 16:59:00,PARKING /DROP LOT/ GARAGE,4530023242.0,30.2330217,-97.7182491,Henry,3,3
POSS OF DRUG PARAPHERNALIA,drugs,2009,Night,2009-02-07 00:12:00,2009-02-07 00:12:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530011032.0,30.2646001,-97.7396453,George,2,9
CRIMINAL TRESPASS,trespass,2014,Evening,2014-12-07 17:23:00,2014-12-07 17:23:00,PARKING /DROP LOT/ GARAGE,4530013071.0,30.2310665,-97.7712704,David,2,3
THEFT,theft,2012,Morning,2012-01-31 10:00:00,2012-02-07 13:42:00,COMMERCIAL / OFFICE BUILDING,4530347001.0,30.2306459,-97.8711823,David,6,8
THEFT,theft,2011,Afternoon,2011-07-11 15:49:00,2011-07-11 15:59:00,CONVENIENCE STORE,,,,Frank,1,5
ASSAULT WITH INJURY,assault,2013,Evening,2013-09-27 20:13:00,2013-09-27 20:13:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530011011.0,30.2696516,-97.7375527,George,1,9
DAMAGE CITY VEHICLE,property,2019,Morning,2019-04-04 07:14:00,2019-04-04 07:14:00,GOVERNMENT / PUBLIC BUILDING,4530422003.0,30.4122241,-97.695276,Adam,3,7
TERRORISTIC THREAT,terrorism,2010,Night,2010-03-20 00:04:00,2010-03-20 00:04:00,SERVICE/ GAS STATION,4530024191.0,30.1954505,-97.7637023,Frank,8,2
THEFT,theft,2008,Afternoon,2008-11-20 15:30:00,2008-11-21 11:02:00,CONSTRUCTION SITE,4530367003.0,30.1924564,-97.9016538,David,8,8
THEFT OF AUTO PARTS,theft,2004,Morning,2004-07-24 11:00:00,2004-07-24 15:20:00,RESIDENCE / HOME,4530417002.0,30.389777,-97.6955838,Edward,4,7
FAMILY DISTURBANCE/PARENTAL,family,2005,Evening,2005-02-24 17:20:00,2005-02-24 18:59:00,RESIDENCE / HOME,4530025005.0,30.4181218,-97.7541564,Adam,7,10
DWI,traffic,2015,Night,2015-02-25 01:02:00,2015-02-25 01:02:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530021054.0,30.3169564,-97.7053727,Ida,5,4
GRAFFITI,nuisance,2014,Night,2014-05-28 03:00:00,2014-05-28 10:31:00,RESTAURANT,4530323003.0,30.354416,-97.7518682,Baker,8,10
CRIMINAL MISCHIEF,property,2018,Night,2018-06-30 22:39:00,2018-06-30 22:39:00,AIR / BUS / TRAIN TERMINAL,,,,Airport,S,2
CUSTODY ARREST TRAFFIC WARR,court,2004,Morning,2004-08-10 11:01:00,2004-08-10 11:01:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530410002.0,30.3644157,-97.6894706,Edward,1,4
BURGLARY OF VEHICLE,theft,2006,Night,2006-09-17 22:30:00,2006-09-18 03:07:00,PARKING /DROP LOT/ GARAGE,4530011022.0,30.266609,-97.7450234,George,1,9
FAMILY DISTURBANCE,family,2003,Evening,2003-04-03 19:51:00,2003-04-03 19:51:00,RESIDENCE / HOME,4530013122.0,30.2452677,-97.7539204,David,1,3
ASSAULT BY CONTACT,assault,2010,Night,2010-10-31 03:04:00,2010-10-31 03:04:00,PARKING /DROP LOT/ GARAGE,4530023151.0,30.2345938,-97.7330258,Henry,2,3
CRIMINAL MISCHIEF,property,2023,Afternoon,2023-06-13 16:31:00,2023-07-03 16:31:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530431001.0,30.3581886,-97.694045,Edward,1,4
THEFT BY SHOPLIFTING,theft,2014,Morning,2014-09-09 10:05:00,2014-09-09 10:18:00,DEPARTMENT / DISCOUNT STORE,4530024371.0,30.1659019,-97.7948187,Frank,2,5
THEFT OF LICENSE PLATE,theft,2016,Afternoon,2016-04-28 12:00:00,2016-04-28 12:57:00,PARKING /DROP LOT/ GARAGE,4530021052.0,30.3167562,-97.7105296,Ida,6,4
BURGLARY OF RESIDENCE,burglary,2006,Afternoon,2006-10-09 16:00:00,2006-10-11 22:52:00,RESIDENCE / HOME,4530023041.0,30.2442403,-97.7278838,Henry,2,3
UNLAWFUL CARRYING WEAPON,weapons,2014,Night,2014-05-09 03:37:00,2014-05-09 03:37:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530442001.0,30.4301484,-97.663273,Edward,6,7
BURGLARY OF RESIDENCE,burglary,2008,Night,2008-02-07 21:15:00,2008-02-08 03:21:00,RESIDENCE / HOME,4530401001.0,30.3559507,-97.7126267,Edward,2,4
CHILD CUSTODY INTERFERE,family,2022,Night,2022-04-16 00:10:00,2022-04-27 14:32:00,RESIDENCE / HOME,4530023212.0,30.234071,-97.6902858,Henry,5,3
THEFT,theft,2006,Afternoon,2006-02-07 16:30:00,2006-02-07 17:16:00,SERVICE/ GAS STATION,4530023222.0,30.221263,-97.7528359,Henry,2,3
VIOL OF PROTECTIVE ORDER OR BOND FV/SEX CRIME/HUMAN TRAFFICKING,sexual,2022,Night,2022-02-01 22:15:00,2022-02-01 22:15:00,RESIDENCE / HOME,4530013121.0,30.2460782,-97.7620349,David,1,3
INJURY DISABLED INDIVIDUAL,abuse,2008,Morning,2008-07-17 06:52:00,2008-07-17 06:52:00,RESIDENCE / HOME,4530309004.0,30.1994998,-97.81149,Frank,1,5
DISTURBANCE - OTHER,disturbance,2013,Evening,2013-11-16 19:13:00,2013-11-16 19:13:00,RESIDENCE / HOME,4530021121.0,30.3179053,-97.68751,Ida,3,4
BURGLARY OF VEHICLE,theft,2008,Night,2008-09-20 22:00:00,2008-09-21 16:37:00,PARKING /DROP LOT/ GARAGE,4530012004.0,30.26744,-97.7539977,George,1,9
ROBBERY BY ASSAULT,robbery,2012,Afternoon,2012-11-25 15:03:00,2012-11-25 15:03:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530011011.0,30.2696516,-97.7375527,George,2,9
BURGLARY NON RESIDENCE,burglary,2016,Night,2016-01-21 04:00:00,2016-01-21 14:17:00,COMMERCIAL / OFFICE BUILDING,4530405001.0,30.3664207,-97.7234381,Ida,7,4
ASSAULT WITH INJURY,assault,2019,Afternoon,2019-08-02 16:17:00,2019-08-02 16:17:00,RESIDENCE / HOME,4530402001.0,30.3257814,-97.688573,Ida,2,4
CRUELTY TO ANIMALS,animal,2023,Afternoon,2023-03-08 15:23:00,2023-03-08 15:23:00,ABANDONED/CONDEMNED STRUCTURE,4530006071.0,30.2858433,-97.7510816,Baker,2,9
POSSESSION OF MARIJUANA,drugs,2015,Night,2015-12-28 01:56:00,2015-12-28 01:56:00,SCHOOL - ELEMENTARY / SECONDARY,4530024223.0,30.1802703,-97.7895912,Frank,3,2
BURGLARY OF VEHICLE,theft,2003,Night,2003-12-02 00:20:00,2003-12-02 07:45:00,PARKING /DROP LOT/ GARAGE,4530405003.0,30.357715,-97.7260069,Ida,7,4
POSSESSION OF MARIJUANA,drugs,2019,Night,2019-12-02 22:49:00,2019-12-02 22:49:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530022012.0,30.3072252,-97.6550924,Charlie,7,1
DWI,traffic,2008,Afternoon,2008-06-17 16:58:00,2008-06-17 20:05:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530015053.0,30.3365973,-97.7246132,Ida,7,7
MAIL THEFT,theft,2020,Evening,2020-07-20 17:56:00,2020-07-21 10:34:00,RESIDENCE / HOME,4530439003.0,30.4123175,-97.6630974,Edward,6,7
ASSAULT WITH INJURY,assault,2011,Night,2011-08-24 22:48:00,2011-08-24 22:48:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530405002.0,30.3554686,-97.7182668,Ida,7,4
BURGLARY NON RESIDENCE,burglary,2022,Evening,2022-07-23 19:00:00,2022-07-28 11:37:00,AUTO DEALERSHIP NEW / USED,4530024031.0,30.2139103,-97.7609197,David,3,3
POSS CONTROLLED SUB/NARCOTIC,drugs,2022,Morning,2022-06-02 08:34:00,2022-06-02 08:34:00,RESTAURANT,4530003093.0,30.3020804,-97.7059301,Baker,4,9
MAIL THEFT,theft,2021,Evening,2021-01-23 20:00:00,2021-01-25 12:07:00,RESIDENCE / HOME,4530342001.0,30.4299706,-97.745048,Adam,3,6
DWI,traffic,2008,Night,2008-05-21 02:38:00,2008-05-21 02:38:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530011032.0,30.2646001,-97.7396453,Charlie,1,9
CRASH/FAIL STOP AND RENDER AID,traffic,2023,Afternoon,2023-09-06 16:18:00,2023-09-06 16:18:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530400001.0,30.3381903,-97.7057278,Ida,8,4
DWI,traffic,2008,Night,2008-01-27 02:05:00,2008-01-27 02:05:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530011021.0,30.2684664,-97.7492191,George,1,9
LIQUOR LAW VIOLATION/OTHER,drugs,2003,Night,2003-02-09 01:05:00,2003-02-09 01:05:00,BAR / NIGHTCLUB,4530023161.0,30.2390961,-97.7290694,Henry,2,3
ASSAULT WITH INJURY,assault,2014,Afternoon,2014-10-18 16:25:00,2014-10-18 16:25:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530013122.0,30.2452677,-97.7539204,Henry,1,3
BURGLARY NON RESIDENCE,burglary,2011,Evening,2011-10-03 17:00:00,2011-10-04 16:39:00,COMMERCIAL / OFFICE BUILDING,4530022192.0,30.3104028,-97.5907723,Charlie,7,1
BURGLARY OF RESIDENCE,burglary,2012,Night,2012-07-03 00:00:00,2012-07-09 18:09:00,RESIDENCE / HOME,4530406003.0,30.3615461,-97.7013235,Edward,1,4
BURGLARY OF VEH-NO SUSPECT/FU,theft,2021,Afternoon,2021-09-18 12:15:00,2021-09-18 12:39:00,FIELD / WOODS,4530019121.0,30.3220747,-97.8279266,Baker,8,10
POSSESSION OF MARIJUANA,drugs,2017,Night,2017-05-20 22:36:00,2017-05-20 23:36:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530432002.0,30.3473691,-97.699134,Edward,1,4
SEXUAL ASSAULT OF CHILD/OBJECT,rape,2010,Morning,2010-04-07 10:17:00,2010-04-07 10:17:00,GOVERNMENT / PUBLIC BUILDING,4530007001.0,30.2777004,-97.7411232,Baker,1,9
HARASSMENT,abuse,2021,Night,2021-05-19 00:00:00,2021-05-19 00:00:00,RESIDENCE / HOME,4530410003.0,30.3703661,-97.6876942,Edward,1,4
DISTURBANCE - OTHER,disturbance,2015,Night,2015-10-10 23:30:00,2015-10-10 23:55:00,RESIDENCE / HOME,4530405003.0,30.357715,-97.7260069,Ida,7,4
VIOL STATE LAW - OTHER,other,2014,Night,2014-10-24 01:05:00,2014-10-24 01:05:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530011011.0,30.2696516,-97.7375527,George,2,9
CRED CARD ABUSE - OTHER,fraud,2009,Afternoon,2009-03-31 12:00:00,2009-04-09 15:32:00,RESIDENCE / HOME,4530003071.0,30.2970325,-97.7125652,Charlie,3,9
THEFT BY SHOPLIFTING,theft,2022,Evening,2022-12-17 17:00:00,2023-01-24 12:17:00,SPECIALTY  STORE,4530024512.0,30.157356,-97.7832595,Frank,7,5
ASSAULT WITH INJURY,assault,2013,Morning,2013-09-29 06:55:00,2013-09-29 06:55:00,BANK / SAVINGS & LOAN,4530011032.0,30.2646001,-97.7396453,George,2,9
THEFT,theft,2012,Afternoon,2012-04-30 16:00:00,2012-04-30 16:30:00,DEPARTMENT / DISCOUNT STORE,4530403003.0,30.3412558,-97.6916723,Ida,2,4
FAMILY DISTURBANCE,family,2016,Morning,2016-04-04 09:40:00,2016-04-04 09:40:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530309001.0,30.1944885,-97.8162429,Frank,1,5
THEFT BY SHOPLIFTING,theft,2014,Afternoon,2014-11-21 15:00:00,2014-11-21 17:31:00,GROCERY / SUPERMARKET,4530023043.0,30.2416695,-97.7204469,Henry,2,3
CRIMINAL TRESPASS,trespass,2004,Night,2004-10-23 04:14:00,2004-10-23 04:14:00,RESTAURANT,4530006062.0,30.2919097,-97.7427939,Baker,1,9
AUTO THEFT,theft,2012,Night,2012-03-06 03:19:00,2012-03-06 03:19:00,RESIDENCE / HOME,4530023073.0,30.2190531,-97.736105,Henry,2,3
BURGLARY OF VEHICLE,theft,2011,Afternoon,2011-07-24 12:40:00,2011-07-24 15:22:00,PARKING /DROP LOT/ GARAGE,4530433001.0,30.3339028,-97.6977217,Ida,1,4
DUMPING REFUSE NEAR HIGHWAY,nuisance,2003,Afternoon,2003-10-22 12:00:00,2003-10-24 10:20:00,PARKING /DROP LOT/ GARAGE,4530432003.0,30.3519268,-97.7021453,Edward,1,4
FORGERY - OTHER,fraud,2010,Afternoon,2010-06-23 16:54:00,2010-06-23 16:54:00,COMMERCIAL / OFFICE BUILDING,4910204081.0,30.4660085,-97.7869768,Adam,5,6
FAMILY DISTURBANCE,family,2016,Night,2016-07-06 22:38:00,2016-07-06 22:38:00,RESIDENCE / HOME,4910204062.0,30.443258,-97.7805398,Adam,4,6
CRIMINAL MISCHIEF,property,2018,Morning,2018-06-04 07:39:00,2018-06-04 07:39:00,DRUG STORE / DOCTOR'S OFFICE / HOSPITAL,4530303001.0,30.2277107,-97.7961015,David,4,5
THEFT,theft,2014,Evening,2014-11-18 18:00:00,2014-12-12 19:08:00,RESIDENCE / HOME,4530321002.0,30.2247727,-97.8151063,David,4,5
IDENTITY THEFT,fraud,2021,Evening,2021-07-09 17:35:00,2022-01-11 17:37:00,OTHER / UNKNOWN,4530001011.0,30.32326,-97.7477495,Baker,6,7
BURGLARY OF VEH-NO SUSPECT/FU,theft,2023,Morning,2023-10-05 08:00:00,2023-10-24 16:12:00,RESIDENCE / HOME,4530348001.0,30.2051118,-97.8668929,David,7,8
CRIMINAL MISCHIEF,property,2018,Morning,2018-07-17 05:50:00,2018-07-17 06:10:00,RESIDENCE / HOME,,,,Frank,1,5
CRIMINAL MISCHIEF,property,2003,Morning,2003-09-27 08:00:00,2003-10-01 07:55:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530021092.0,30.2795723,-97.6914013,Charlie,4,1
THEFT,theft,2005,Morning,2005-05-19 06:00:00,2005-05-19 06:25:00,PARKING /DROP LOT/ GARAGE,4530021051.0,30.3085319,-97.7034163,Ida,5,4
BURGLARY OF VEHICLE,theft,2012,Evening,2012-05-05 20:30:00,2012-05-15 12:04:00,PARKING /DROP LOT/ GARAGE,4530324001.0,30.3907522,-97.7387405,Adam,1,7
BURGLARY OF VEHICLE,theft,2020,Night,2020-03-13 01:30:00,2020-03-13 12:46:00,RESIDENCE / HOME,4530019112.0,30.2585241,-97.7909024,David,4,8
ASSAULT WITH INJURY,assault,2006,Night,2006-03-04 02:10:00,2006-03-04 02:50:00,BAR / NIGHTCLUB,4530011011.0,30.2696516,-97.7375527,George,1,9
IDENTITY THEFT,fraud,2009,Afternoon,2009-08-31 16:08:00,2009-08-31 16:14:00,RESIDENCE / HOME,4530024392.0,30.1602671,-97.7401108,Frank,7,2
BURGLARY OF VEHICLE,theft,2010,Evening,2010-04-22 18:45:00,2010-04-22 23:52:00,PARKING /DROP LOT/ GARAGE,4530405001.0,30.3664207,-97.7234381,Ida,7,4
CRIMINAL MISCHIEF,property,2003,Evening,2003-12-21 18:52:00,2003-12-21 18:52:00,COMMERCIAL / OFFICE BUILDING,4530006061.0,30.2943811,-97.74318,Baker,1,9
CRIMINAL MISCHIEF,property,2021,Afternoon,2021-11-14 12:00:00,2022-02-02 08:55:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4539800001.0,30.1946633,-97.666661,Henry,8,2
DISTURBANCE - OTHER,disturbance,2013,Night,2013-10-26 02:26:00,2013-10-26 02:26:00,RESIDENCE / HOME,4530024402.0,30.1448973,-97.748099,Frank,7,2
DWI,traffic,2013,Morning,2013-08-08 10:20:00,2013-08-08 10:20:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530024472.0,30.2065646,-97.7271093,Frank,6,2
CRED CARD ABUSE BY FORGERY,fraud,2018,Afternoon,2018-04-11 15:13:00,2018-04-11 15:13:00,OTHER / UNKNOWN,4530403003.0,30.3412558,-97.6916723,Ida,2,4
THEFT,theft,2019,Afternoon,2019-01-03 16:17:00,2019-01-03 16:17:00,DEPARTMENT / DISCOUNT STORE,4530023222.0,30.221263,-97.7528359,David,2,3
FAMILY DISTURBANCE,family,2015,Night,2015-01-28 01:51:00,2015-01-28 02:31:00,RESIDENCE / HOME,4530021052.0,30.3167562,-97.7105296,Ida,6,4
BURGLARY OF RESIDENCE,burglary,2003,Evening,2003-10-22 18:30:00,2003-10-22 21:34:00,RESIDENCE / HOME,4530318004.0,30.1767918,-97.825232,Frank,1,5
BURGLARY OF VEHICLE,theft,2009,Afternoon,2009-12-03 16:00:00,2009-12-03 18:20:00,RESIDENCE / HOME,4530019131.0,30.3185118,-97.8071485,Baker,7,8
CRED CARD ABUSE BY FORGERY,fraud,2008,Evening,2008-08-21 17:15:00,2008-08-22 08:52:00,SPECIALTY  STORE,4530440001.0,30.3912267,-97.6559894,Edward,6,1
ASSAULT BY THREAT,assault,2017,Night,2017-09-26 22:45:00,2017-09-26 22:45:00,RESIDENCE / HOME,4530001021.0,30.3342867,-97.7695659,Baker,7,10
THEFT,theft,2019,Evening,2019-10-06 19:00:00,2019-10-09 14:41:00,GOVERNMENT / PUBLIC BUILDING,4530019113.0,30.2658389,-97.7751242,David,1,8
FAMILY DISTURBANCE,family,2015,Afternoon,2015-11-03 16:31:00,2015-11-03 17:43:00,HOTEL / MOTEL / ETC.,4530400003.0,30.343709,-97.7010959,Edward,1,4
FAMILY DISTURBANCE,family,2010,Night,2010-02-13 01:25:00,2010-02-13 01:25:00,RESIDENCE / HOME,4530024303.0,30.1726739,-97.7631368,Frank,8,2
FORGERY AND PASSING,fraud,2021,Afternoon,2021-10-12 14:37:00,2022-02-02 14:37:00,OTHER / UNKNOWN,4530021113.0,30.2582833,-97.6793314,Charlie,1,3
THEFT,theft,2014,Afternoon,2014-10-05 16:39:00,2014-10-05 16:39:00,OTHER / UNKNOWN,4530003093.0,30.3020804,-97.7059301,Baker,4,9
ASSAULT W/INJURY-FAM/DATE VIOL,assault,2011,Evening,2011-03-11 20:36:00,2011-03-11 20:36:00,RESIDENCE / HOME,4530021091.0,30.2827105,-97.6997804,Charlie,4,1
BURGLARY OF VEHICLE,theft,2004,Night,2004-01-31 23:30:00,2004-02-01 11:40:00,BAR / NIGHTCLUB,4530021093.0,30.2830113,-97.679436,Charlie,4,1
PROSTITUTION,prostitution,2013,Evening,2013-09-03 18:43:00,2013-09-03 18:43:00,HOTEL / MOTEL / ETC.,4530324001.0,30.3907522,-97.7387405,Adam,1,7
THEFT BY SHOPLIFTING,theft,2014,Afternoon,2014-05-03 15:21:00,2014-05-03 16:25:00,GROCERY / SUPERMARKET,4530317003.0,30.187371,-97.8417464,Frank,1,5
DEL CONTROLLED SUB/NARCOTIC,drugs,2018,Afternoon,2018-09-10 15:34:00,2018-09-10 15:34:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530407003.0,30.3677726,-97.7144025,Edward,2,4
FAMILY DISTURBANCE,family,2003,Night,2003-04-29 23:05:00,2003-04-29 23:05:00,RESIDENCE / HOME,4530409004.0,30.369921,-97.7015678,Edward,1,4
DISTURBANCE - OTHER,disturbance,2012,Night,2012-08-25 02:06:00,2012-08-25 02:06:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,,,,David,4,5
HARASSMENT,abuse,2024,Night,2024-04-27 00:00:00,2024-06-21 10:49:00,OTHER / UNKNOWN,4530436002.0,30.3366945,-97.6648121,Edward,3,1
THEFT,theft,2003,Night,2003-05-09 22:00:00,2003-05-10 14:04:00,RESIDENCE / HOME,4530012001.0,30.2745143,-97.7577556,Baker,2,9
FAMILY DISTURBANCE,family,2012,Night,2012-03-15 00:32:00,2012-03-15 00:32:00,COMMERCIAL / OFFICE BUILDING,4530021061.0,30.3113948,-97.6890435,Ida,4,4
CRED CARD ABUSE - OTHER,fraud,2019,Night,2019-08-01 02:09:00,2019-08-01 02:09:00,HOTEL / MOTEL / ETC.,4530024111.0,30.2084521,-97.7468474,Frank,5,2
THEFT,theft,2018,Evening,2018-01-24 19:30:00,2018-02-17 17:33:00,SHOPPING MALL,4530454003.0,30.3859032,-97.7260439,Adam,1,7
CUSTODY ARREST TRAFFIC WARR,court,2006,Night,2006-02-19 23:42:00,2006-02-20 00:48:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530009022.0,30.2570243,-97.7106188,Charlie,1,3
BURGLARY OF RESIDENCE,burglary,2012,Morning,2012-09-21 08:00:00,2012-09-21 13:24:00,RESIDENCE / HOME,4530024132.0,30.2007263,-97.7381872,Frank,5,2
ASSAULT W/INJURY-FAM/DATE VIOL,assault,2003,Night,2003-09-04 01:43:00,2003-09-04 01:43:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530009022.0,30.2570243,-97.7106188,Charlie,1,3
FAMILY DISTURBANCE,family,2013,Morning,2013-06-11 08:29:00,2013-06-11 08:29:00,RESIDENCE / HOME,4530014031.0,30.2363404,-97.7371275,Henry,1,9
ASSAULT WITH INJURY,assault,2022,Afternoon,2022-09-27 16:30:00,2022-09-29 14:55:00,SCHOOL - ELEMENTARY / SECONDARY,4530008023.0,30.2700814,-97.7111778,Charlie,2,1
CRIMINAL MISCHIEF,property,2013,Night,2013-01-05 21:00:00,2013-01-06 13:44:00,RESIDENCE / HOME,4530317003.0,30.187371,-97.8417464,Frank,1,5
HARASSMENT,abuse,2011,Morning,2011-12-01 09:00:00,2012-01-19 17:38:00,RESIDENCE / HOME,4530021112.0,30.2532607,-97.6940465,Charlie,2,3
CRIMINAL TRESPASS,trespass,2009,Afternoon,2009-08-31 13:49:00,2009-08-31 13:49:00,COMMERCIAL / OFFICE BUILDING,4530015034.0,30.3281841,-97.7106612,Ida,8,4
HARASSMENT,abuse,2019,Afternoon,2019-05-08 12:00:00,2019-06-17 09:27:00,RESIDENCE / HOME,4530402002.0,30.3266444,-97.680705,Ida,2,1
THEFT,theft,2009,Afternoon,2009-12-13 16:04:00,2009-12-13 16:04:00,COMMERCIAL / OFFICE BUILDING,4530023043.0,30.2416695,-97.7204469,Henry,2,3
AGG ASSAULT FAM/DATE VIOLENCE,aggravated assault,2005,Evening,2005-04-18 18:55:00,2005-04-18 19:55:00,RESIDENCE / HOME,4530021091.0,30.2827105,-97.6997804,Charlie,4,1
POSSESSION OF MARIJUANA,drugs,2018,Afternoon,2018-08-15 15:33:00,2018-08-15 15:33:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530021074.0,30.3052266,-97.6749459,Ida,4,1
THEFT,theft,2012,Afternoon,2012-08-22 12:50:00,2012-08-22 14:34:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530021061.0,30.3113948,-97.6890435,Ida,3,4
ASSAULT BY CONTACT,assault,2010,Evening,2010-05-19 19:31:00,2010-05-19 19:31:00,GOVERNMENT / PUBLIC BUILDING,4530011021.0,30.2684664,-97.7492191,George,4,9
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,burglary,2023,Morning,2023-01-03 09:00:00,2023-01-03 09:00:00,RENTAL STORAGE FACILITY,4530342003.0,30.4322725,-97.752259,Adam,3,6
CUSTODY ARREST TRAFFIC WARR,court,2009,Night,2009-10-12 23:26:00,2009-10-12 23:26:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530305001.0,30.3966919,-97.8043068,Adam,7,10
BURGLARY OF VEHICLE,theft,2005,Morning,2005-11-26 09:06:00,2005-11-26 10:28:00,RESIDENCE / HOME,4530319001.0,30.1719206,-97.8465659,Frank,1,5
THEFT,theft,2006,Afternoon,2006-06-18 12:50:00,2006-06-18 20:50:00,RESIDENCE / HOME,4530004023.0,30.2816518,-97.7219621,Charlie,3,1
CUSTODY ARREST TRAFFIC WARR,court,2014,Night,2014-02-19 00:24:00,2014-02-19 01:42:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530412001.0,30.4000489,-97.6816424,Edward,4,7
BURGLARY OF VEHICLE,theft,2006,Night,2006-12-02 21:00:00,2006-12-03 06:45:00,PARKING /DROP LOT/ GARAGE,4530406003.0,30.3615461,-97.7013235,Edward,1,4
FAMILY DISTURBANCE,family,2016,Evening,2016-12-16 19:30:00,2016-12-16 20:37:00,PARKING /DROP LOT/ GARAGE,4530403003.0,30.3412558,-97.6916723,Ida,2,4
CUSTODY ARREST TRAFFIC WARR,court,2007,Evening,2007-07-31 18:47:00,2007-07-31 18:47:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530021063.0,30.3057436,-97.6934095,Ida,4,4
HARASSMENT,abuse,2012,Evening,2012-07-09 17:07:00,2012-07-09 17:07:00,RESIDENCE / HOME,4530407003.0,30.3677726,-97.7144025,Edward,2,4
POSSESSION OF MARIJUANA,drugs,2016,Afternoon,2016-02-27 13:10:00,2016-02-27 13:10:00,RESIDENCE / HOME,4530406003.0,30.3615461,-97.7013235,Edward,1,4
THEFT FROM PERSON,theft,2010,Evening,2010-10-21 20:48:00,2010-10-21 20:48:00,RESIDENCE / HOME,4530433002.0,30.3308302,-97.6910784,Ida,1,4
APPLIC TO REVOKE PROBATION,court,2009,Afternoon,2009-09-30 15:58:00,2009-09-30 15:58:00,COMMERCIAL / OFFICE BUILDING,4530024321.0,30.1493366,-97.7108033,Henry,6,2
CRIMINAL MISCHIEF,property,2003,Night,2003-08-08 23:30:00,2003-08-09 07:56:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530421002.0,30.4159575,-97.6896781,Edward,4,7
ASSAULT BY THREAT,assault,2011,Afternoon,2011-09-01 15:07:00,2011-09-01 15:07:00,RESIDENCE / HOME,4530008031.0,30.278278,-97.7131038,Charlie,3,1
ASSAULT W/INJURY-FAM/DATE VIOL,assault,2006,Night,2006-10-14 00:01:00,2006-10-14 00:17:00,RESIDENCE / HOME,4530021133.0,30.3207132,-97.6732562,Ida,3,1
DATING DISTURBANCE,disturbance,2021,Morning,2021-12-10 09:18:00,2021-12-10 10:16:00,RESIDENCE / HOME,4530012001.0,30.2745143,-97.7577556,Baker,2,9
CHILD CUSTODY INTERFERE,family,2022,Afternoon,2022-11-28 12:00:00,2022-12-06 16:47:00,RESIDENCE / HOME,4530019113.0,30.2658389,-97.7751242,David,1,8
FAMILY DISTURBANCE,family,2012,Evening,2012-02-11 18:05:00,2012-02-11 18:05:00,RESIDENCE / HOME,,,,Henry,4,0
POSSESSION OF MARIJUANA,drugs,2010,Night,2010-03-05 02:16:00,2010-03-05 02:16:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530011011.0,30.2696516,-97.7375527,George,2,9
FAMILY DISTURBANCE,family,2010,Morning,2010-09-07 10:48:00,2010-09-07 10:48:00,RESIDENCE / HOME,4530015034.0,30.3281841,-97.7106612,Ida,8,4
TERRORISTIC THREAT-FAM/DAT VIO,terrorism,2011,Night,2011-11-03 02:19:00,2011-11-03 02:19:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530024132.0,30.2007263,-97.7381872,Frank,5,2
FRAUD - OTHER,fraud,2006,Morning,2006-12-13 07:00:00,2006-12-13 11:40:00,RESIDENCE / HOME,4530020021.0,30.2239737,-97.783038,David,3,5
